Date,Plant,Leaf,VcMaxRef,JMaxRef,RdRef,TPURef,Tᵣ,g0,g1,VcMaxRef_mean_leaf,JMaxRef_mean_leaf,RdRef_mean_leaf,TPURef_mean_leaf,Tᵣ_mean_leaf,g0_mean_leaf,g1_mean_leaf,VcMaxRef_mean_plant,JMaxRef_mean_plant,RdRef_mean_plant,TPURef_mean_plant,Tᵣ_mean_plant,g0_mean_plant,g1_mean_plant
2021-01-29,1,2,43.43924539984758,81.17403946363665,0.46566139024366376,5.590363252580141,25.0,0.021955721108529114,0.2584587169032577,43.43924539984758,81.17403946363665,0.46566139024366376,5.590363252580141,25.0,0.021955721108529114,0.2584587169032577,38.06053209998552,79.24783422916299,0.5999560241273655,5.4011270502600635,25.0,0.017982948770240797,0.6845773451059125
2021-01-28,1,3,53.89849003245693,100.45873475011591,0.43615181042110596,6.646702677391057,25.0,0.02432102175643966,0.6390233345219389,53.89849003245693,100.45873475011591,0.43615181042110596,6.646702677391057,25.0,0.02432102175643966,0.6390233345219389,38.06053209998552,79.24783422916299,0.5999560241273655,5.4011270502600635,25.0,0.017982948770240797,0.6845773451059125
2021-01-27,1,4,55.836379347860216,107.37838077674407,0.355378137886271,6.9913740840393706,25.0,0.01979407009343717,0.7969580430551844,55.836379347860216,107.37838077674407,0.355378137886271,6.9913740840393706,25.0,0.01979407009343717,0.7969580430551844,38.06053209998552,79.24783422916299,0.5999560241273655,5.4011270502600635,25.0,0.017982948770240797,0.6845773451059125
2021-01-26,1,6,59.929737247532216,122.86895393214344,0.9752953474274542,8.11798700547981,25.0,0.039313993700738126,0.6417727399094737,36.767448577967194,79.72987413695049,0.632468865529629,5.434337344496338,25.0,0.01727530481258391,0.7566554143755096,38.06053209998552,79.24783422916299,0.5999560241273655,5.4011270502600635,25.0,0.017982948770240797,0.6845773451059125
2021-03-01,1,6,40.07148141518177,97.1819981663293,0.5681968542122257,7.251942895631756,25.0,0.020753196321015493,0.736553152181914,36.767448577967194,79.72987413695049,0.632468865529629,5.434337344496338,25.0,0.01727530481258391,0.7566554143755096,38.06053209998552,79.24783422916299,0.5999560241273655,5.4011270502600635,25.0,0.017982948770240797,0.6845773451059125
2021-03-09,1,6,47.12909094341454,86.94296945149819,0.4119324753174782,5.769842743758221,25.0,0.009946170484387534,0.7076168328841099,36.767448577967194,79.72987413695049,0.632468865529629,5.434337344496338,25.0,0.01727530481258391,0.7566554143755096,38.06053209998552,79.24783422916299,0.5999560241273655,5.4011270502600635,25.0,0.017982948770240797,0.6845773451059125
2021-03-15,1,6,43.76285973791185,85.92534025652806,0.6447277316432496,5.561344151016235,25.0,0.010781077060565067,0.9310419321611789,36.767448577967194,79.72987413695049,0.632468865529629,5.434337344496338,25.0,0.01727530481258391,0.7566554143755096,38.06053209998552,79.24783422916299,0.5999560241273655,5.4011270502600635,25.0,0.017982948770240797,0.6845773451059125
2021-03-24,1,6,43.574785538541974,98.860865608312,0.7695034242358081,6.638589732435376,25.0,0.027837951597714156,0.613317345673682,36.767448577967194,79.72987413695049,0.632468865529629,5.434337344496338,25.0,0.01727530481258391,0.7566554143755096,38.06053209998552,79.24783422916299,0.5999560241273655,5.4011270502600635,25.0,0.017982948770240797,0.6845773451059125
2021-03-30,1,6,37.474500841292326,90.98071739081314,0.8114736632518107,6.1597452433720195,25.0,0.02644160773038809,0.8762180429539637,36.767448577967194,79.72987413695049,0.632468865529629,5.434337344496338,25.0,0.01727530481258391,0.7566554143755096,38.06053209998552,79.24783422916299,0.5999560241273655,5.4011270502600635,25.0,0.017982948770240797,0.6845773451059125
2021-04-06,1,6,20.18845858152242,40.60241180501795,0.4691411529786914,2.7299368640916017,25.0,0.006125877252011136,0.32605555157713084,36.767448577967194,79.72987413695049,0.632468865529629,5.434337344496338,25.0,0.01727530481258391,0.7566554143755096,38.06053209998552,79.24783422916299,0.5999560241273655,5.4011270502600635,25.0,0.017982948770240797,0.6845773451059125
2021-04-12,1,6,25.095060094895135,61.60590761460783,0.3062896225970986,4.219774960998242,25.0,0.008827211841114166,1.0425071458420874,36.767448577967194,79.72987413695049,0.632468865529629,5.434337344496338,25.0,0.01727530481258391,0.7566554143755096,38.06053209998552,79.24783422916299,0.5999560241273655,5.4011270502600635,25.0,0.017982948770240797,0.6845773451059125
2021-04-23,1,6,13.681062801412507,32.5997030073043,0.7356595181028445,2.459872503683774,25.0,0.005450657325321399,0.9348159861960461,36.767448577967194,79.72987413695049,0.632468865529629,5.434337344496338,25.0,0.01727530481258391,0.7566554143755096,38.06053209998552,79.24783422916299,0.5999560241273655,5.4011270502600635,25.0,0.017982948770240797,0.6845773451059125
2021-01-25,1,7,45.24286652610877,88.38931185488937,0.5696601096689825,6.238440739497386,25.0,0.03385027622734234,0.09089622107001372,34.55973815962507,70.27444668139448,0.6933623686591346,4.830634997632667,25.0,0.020128504652844353,0.6751539369472961,38.06053209998552,79.24783422916299,0.5999560241273655,5.4011270502600635,25.0,0.017982948770240797,0.6845773451059125
2021-04-16,1,7,23.876609793141377,52.159581507899595,0.8170646276492867,3.4228292557679487,25.0,0.006406733078346369,1.2594116528245785,34.55973815962507,70.27444668139448,0.6933623686591346,4.830634997632667,25.0,0.020128504652844353,0.6751539369472961,38.06053209998552,79.24783422916299,0.5999560241273655,5.4011270502600635,25.0,0.017982948770240797,0.6845773451059125
