Date,Plant,LAI
2021-03-16,1,0.3372147182114579
2021-03-17,1,0.3372147182114579
2021-03-31,1,0.41577394814469804
2021-04-01,1,0.41577394814469804
2021-04-24,1,0.5308958236298711
2021-04-25,1,0.5308958236298711
2021-05-01,1,0.5607048594938674
2021-05-02,1,0.5607048594938674
2021-03-19,2,0.2494177922682813
2021-03-20,2,0.2494177922682813
2021-03-21,2,0.2494177922682813
2021-04-09,2,0.3712156497438286
2021-04-10,2,0.3712156497438286
2021-04-11,2,0.3712156497438286
2021-04-12,2,0.3712156497438286
2021-04-21,2,0.4014904517931998
2021-03-23,3,0.34303679552864463
2021-03-24,3,0.34303679552864463
2021-03-25,3,0.34303679552864463
2021-04-14,3,0.41002949852507375
2021-04-15,3,0.41002949852507375
2021-04-16,3,0.41002949852507375
2021-04-17,3,0.43634528799875794
2021-04-18,3,0.43634528799875794
2021-03-12,5,0.24996118615121876
2021-03-13,5,0.24996118615121876
2021-03-14,5,0.24996118615121876
2021-04-03,5,0.3396988045334575
2021-04-04,5,0.3396988045334575
2021-04-05,5,0.3396988045334575
2021-04-06,5,0.3396988045334575
2021-04-07,5,0.3396988045334575
2021-04-22,5,0.3544480670703307
2021-04-23,5,0.3544480670703307
