waveLength(nm);irradiance(microW/cm2/nm)
521,38;19,190
521,81;19,184
522,23;19,174
522,66;19,166
523,09;19,151
523,52;19,138
523,94;19,141
524,37;19,137
524,8;19,134
525,22;19,133
525,65;19,139
526,08;19,146
526,5;19,159
526,93;19,175
527,36;19,203
527,78;19,231
528,21;19,262
528,63;19,306
529,06;19,356
529,49;19,405
529,91;19,449
530,34;19,505
530,77;19,564
531,19;19,628
531,62;19,691
532,04;19,764
532,47;19,841
532,9;19,924
533,32;20,004
533,75;20,089
534,17;20,172
534,6;20,265
535,02;20,356
535,45;20,446
535,87;20,535
536,3;20,630
536,73;20,722
537,15;20,827
537,58;20,925
538;21,037
538,43;21,149
538,85;21,268
539,28;21,384
539,7;21,502
540,13;21,618
540,55;21,745
540,98;21,854
541,4;21,976
541,83;22,094
542,25;22,215
542,68;22,335
543,1;22,459
543,52;22,571
543,95;22,688
544,37;22,807
544,8;22,944
545,22;23,073
545,65;23,204
546,07;23,336
546,49;23,473
546,92;23,616
547,34;23,741
547,77;23,872
548,19;23,999
548,61;24,132
549,04;24,263
549,46;24,395
549,89;24,528
550,31;24,663
550,73;24,794
551,16;24,932
551,58;25,062
552;25,202
552,43;25,341
552,85;25,468
553,27;25,608
553,7;25,730
554,12;25,853
554,54;25,991
554,97;26,110
555,39;26,244
555,81;26,379
556,24;26,503
556,66;26,640
557,08;26,772
557,5;26,889
557,93;27,015
558,35;27,129
558,77;27,246
559,19;27,361
559,62;27,475
560,04;27,581
560,46;27,693
560,88;27,807
561,31;27,904
561,73;27,989
562,15;28,090
562,57;28,187
563;28,289
563,42;28,389
563,84;28,481
564,26;28,585
564,68;28,705
565,11;28,801
565,53;28,891
565,95;28,987
566,37;29,078
566,79;29,166
567,21;29,258
567,64;29,348
568,06;29,453
568,48;29,568
568,9;29,677
569,32;29,785
569,74;29,898
570,16;30,017
570,58;30,137
571,01;30,252
571,43;30,358
571,85;30,472
572,27;30,595
572,69;30,713
573,11;30,821
573,53;30,916
573,95;31,002
574,37;31,100
574,79;31,179
575,21;31,230
575,63;31,270
576,05;31,301
576,48;31,319
576,9;31,347
577,32;31,340
577,74;31,334
578,16;31,329
578,58;31,304
579;31,286
579,42;31,260
579,84;31,227
580,26;31,187
580,68;31,151
581,1;31,105
581,52;31,094
581,94;31,041
582,35;31,004
582,77;30,962
583,19;30,931
583,61;30,877
584,03;30,830
584,45;30,773
584,87;30,733
585,29;30,686
585,71;30,626
586,13;30,569
586,55;30,523
586,97;30,480
587,39;30,432
587,81;30,385
588,22;30,339
588,64;30,300
589,06;30,245
589,48;30,192
589,9;30,140
590,32;30,093
590,74;30,059
591,15;30,003
591,57;29,960
591,99;29,932
592,41;29,903
