Date;Conditions;X;Y;Z - 21 cm;Z - 51 cm;Z - 81 cm;Z - 111cm;Z - 105.4cm
02/02/2021;noFelt;10;62,4;461;371;263;208;
02/02/2021;noFelt;10;64;469;364;260;204;
02/02/2021;noFelt;10;65,6;458;371;269;207;
02/02/2021;noFelt;10;67,2;464;373;265;209;
02/02/2021;noFelt;10;68,8;461;364;261;202;
02/02/2021;noFelt;10;70,4;463;381;275;213;
02/02/2021;noFelt;10;72;460;372;265;209;
02/02/2021;noFelt;10;73,6;446;358;261;201;
02/02/2021;noFelt;10;75,2;444;375;272;212;
02/02/2021;noFelt;10;76,8;440;364;261;205;
02/02/2021;noFelt;10;78,4;432;362;268;206;
02/02/2021;noFelt;10;80;415;364;265;209;
02/02/2021;noFelt;10;81,6;412;359;261;205;
02/02/2021;noFelt;10;83,2;389;350;263;203;
02/02/2021;noFelt;10;84,8;373;350;257;203;
02/02/2021;noFelt;10;86,4;362;339;252;197;
02/02/2021;noFelt;10;88;340;331;255;197;
02/02/2021;noFelt;10;89,6;330;335;249;198;
02/02/2021;noFelt;10;91,2;317;324;247;193;
02/02/2021;noFelt;10;92,8;304;327;257;201;
02/02/2021;noFelt;10;94,4;292;328;250;199;
02/02/2021;noFelt;10;96;279;314;248;192;
02/02/2021;noFelt;10;97,6;261;313;252;197;
02/02/2021;noFelt;10;99,2;253;315;244;192;
02/02/2021;noFelt;10;100,8;239;300;245;188;
02/02/2021;noFelt;10;102,4;228;304;247;193;
02/02/2021;noFelt;20;1,6;112;257;220;183;
02/02/2021;noFelt;20;3,2;138;251;223;186;
02/02/2021;noFelt;20;4,8;168;259;229;190;
02/02/2021;noFelt;20;6,4;190;269;226;185;
02/02/2021;noFelt;20;8;209;261;228;190;
02/02/2021;noFelt;20;9,6;225;270;229;190;
02/02/2021;noFelt;20;11,2;253;274;225;185;
02/02/2021;noFelt;20;12,8;272;274;236;193;
02/02/2021;noFelt;20;14,4;291;292;238;194;
02/02/2021;noFelt;20;16;314;286;231;191;
02/02/2021;noFelt;20;17,6;331;291;242;201;
02/02/2021;noFelt;20;19,2;345;305;237;196;
02/02/2021;noFelt;20;20,8;383;309;241;199;
02/02/2021;noFelt;20;22,4;391;311;250;203;
02/02/2021;noFelt;20;24;415;329;247;199;
02/02/2021;noFelt;20;25,6;453;329;257;206;
02/02/2021;noFelt;20;27,2;471;342;264;210;
02/02/2021;noFelt;20;28,8;493;349;255;204;
02/02/2021;noFelt;20;30,4;525;342;263;212;
02/02/2021;noFelt;20;32;532;353;261;208;
02/02/2021;noFelt;20;33,6;564;361;258;206;
02/02/2021;noFelt;20;35,2;586;354;267;213;
02/02/2021;noFelt;20;36,8;590;367;263;208;
02/02/2021;noFelt;20;38,4;623;373;263;208;
